n,time,compareCount,swapCount
1,0.000003,0,0
2,0.000005,1,1
4,0.000002,6,1
8,0.000008,28,22
16,0.000031,120,47
32,0.000075,496,262
64,0.000199,2016,1042
128,0.000732,8128,3841
256,0.002875,32640,16270
512,0.003719,130816,66167
1024,0.002851,523776,240662
2048,0.009920,2096128,1012513
4096,0.015032,8386560,4101025
8192,0.070377,33550336,16064043
16384,0.319876,134209536,63742316
32768,1.388403,536854528,259072605
65536,5.740332,2147450880,1031117444
131072,23.128973,-65536,-157068769
