n,time,compareCount,swapCount
1,0.000002,0,0
2,0.000006,1,1
4,0.000003,6,3
8,0.000006,28,7
16,0.000028,120,15
32,0.000055,496,31
64,0.000150,2016,63
128,0.000816,8128,127
256,0.002366,32640,255
512,0.003043,130816,511
1024,0.001598,523776,1023
2048,0.009122,2096128,2047
4096,0.010561,8386560,4095
8192,0.041361,33550336,8191
16384,0.164384,134209536,16383
32768,0.661705,536854528,32767
65536,2.641264,2147450880,65535
131072,10.463802,-65536,131071
262144,41.874852,-131072,262143
